48.8731340013# 2.28679550428,Platanus,x hispanica,JARDIN DE L AVENUE FOCH / 10 AVENUE FOCH,PARIS 16E ARRDT,450.0,25.0,,,15159
48.8476363794# 2.25274648217,Ginkgo,biloba,JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT,PARIS 16E ARRDT,408.0,24.0,,1895-01-01,45367
48.8940926568# 2.32633191622,Aesculus,pavia,SQUARE DES EPINETTES,PARIS 17E ARRDT,284.0,20.0,,,46172
48.847146744# 2.25198353717,Pterocarya,stenoptera,JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT,PARIS 16E ARRDT,540.0,30.0,,1905-01-01,51305
48.8326105728# 2.41145272899,Taxodium,distichum,ILE DE BERCY / LAC DAUMESNIL,PARIS 12E ARRDT,281.0,23.0,,1930-01-01,64938
48.8876882466# 2.31645921238,Platanus,x hispanica,SQUARE DES BATIGNOLLES,PARIS 17E ARRDT,575.0,34.0,,1850-01-01,67605
48.8823220504# 2.38408821582,Ginkgo,biloba,PARC DES BUTTES CHAUMONT,PARIS 19E ARRDT,270.0,24.0,,,82243
48.8433078707# 2.44974260862,Quercus,robur,FORT NEUF - AVENUE DE LA PEPINIERE / ROUTE DU GRAND MARECHAL,PARIS 12E ARRDT,464.0,30.0,,1815-01-01,163042
48.8939378118# 2.3244386679,Metasequoia,glyptostroboides,SQUARE DE LA VILLA SAINTE CROIX / 10 VILLA SAINTE CROIX,PARIS 17E ARRDT,214.0,15.0,,1995-04-01,191406
48.8615163386# 2.39906598184,Gymnocladus,dioica,CIMETIERE DU PERE LACHAISE / DIV 77,PARIS 20E ARRDT,149.0,10.0,Variegata,,191846
48.8630096006# 2.2417737512,Pinus,nigra subsp. laricio,RESERVOIR DE LA GRANDE CASCADE - CARREFOUR DE LONGCHAMP,PARIS 16E ARRDT,241.0,30.0,,1882-01-01,96164
48.8521900449# 2.34729161483,Robinia,pseudoacacia,SQUARE RENE VIVIANI,PARIS 5E ARRDT,365.0,9.0,,1602-01-01,99877
48.8471733403# 2.25286614408,Quercus,suber subsp. Occidentalis,JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT,PARIS 16E ARRDT,203.0,11.0,,1895-01-01,100742
48.8363411221# 2.29020948574,Fagus,sylvatica,SQUARE DU CLOS FEUQUIERES,PARIS 15E ARRDT,130.0,8.0,Pendula,1973-01-01,109576
48.8428258374# 2.29728541016,Alnus,n. sp.,SQUARE SAINT-LAMBERT,PARIS 15E ARRDT,245.0,15.0,,,111216
48.8810210944# 2.39924431307,Fagus,sylvatica,SQUARE DE LA BUTTE DU CHAPEAU ROUGE / 11 BOULEVARD D ALGERIE,PARIS 19E ARRDT,276.0,21.0,Atropunicea,,112542
48.8614740968# 2.35437470573,Aesculus,hippocastanum,JARDIN ANNE FRANCK / 14 IMPASSE BERTHAUD,PARIS 3E ARRDT,55.0,6.0,,2006-01-01,115375
48.8671184424# 2.25294211329,Platanus,x hispanica,ROUTE DU LAC A BAGATELLE,PARIS 16E ARRDT,534.0,45.0,,1872-01-01,127418
48.8770427283# 2.38050012851,Taxus,baccata,PARC DES BUTTES CHAUMONT,PARIS 19E ARRDT,140.0,13.0,,,133076
48.8669731103# 2.31951515223,Sequoiadendron,giganteum,JARDINS DES CHAMPS ELYSEES,PARIS 8E ARRDT,340.0,15.0,,,134113
48.863392803# 2.39684653818,Ginkgo,biloba,CIMETIERE DU PERE LACHAISE / DIV 84,PARIS 20E ARRDT,165.0,20.0,,,139799
48.8322968473# 2.4106783229,Platanus,x hispanica,ILE DE BERCY / LAC DAUMESNIL,PARIS 12E ARRDT,399.0,35.0,,1860-01-01,141726
48.845904263# 2.25302676408,Pistacia,terebinthus,JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT,PARIS 16E ARRDT,155.0,12.0,,,143325
48.8217882346# 2.3228497157,Fagus,sylvatica,SQUARE DU SERMENT DE KOUFRA,PARIS 14E ARRDT,306.0,19.0,Atropunicea,,144885
48.8875264747# 2.31617875419,Platanus,orientalis,SQUARE DES BATIGNOLLES,PARIS 17E ARRDT,442.0,30.0,,,146214
48.8648326277# 2.25217460792,Diospyros,kaki,JARDIN DU PRE CATELAN - CARREFOUR DE LA GRANDE CASCADE / CARREFOUR DE LA CROIX CATELAN,PARIS 16E ARRDT,146.0,15.0,,1897-01-01,146525
48.8860986781# 2.3446801359,Pterocarya,fraxinifolia,SQUARE LOUISE MICHEL,PARIS 18E ARRDT,350.0,25.0,,,154515
48.8465652331# 2.25242001202,Quercus,ilex,JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT,PARIS 16E ARRDT,222.0,15.0,,,155424
48.8732484628# 2.24887874572,Davidia,involucrata,PARC DE BAGATELLE - ALLEE DE LONGCHAMP / ROUTE DE SEVRES A NEUILLY,PARIS 16E ARRDT,120.0,15.0,,1906-01-01,158555
48.8277560491# 2.35926764063,Cedrus,libani,SQUARE DE CHOISY,PARIS 13E ARRDT,351.0,25.0,,,167369
48.8497459373# 2.36003937333,Cedrus,libani,SQUARE BARYE / 2 BOULEVARD HENRI IV,PARIS 4E ARRDT,133.0,12.0,,1993-01-01,167579
48.8805781337# 2.38684009397,Aesculus,hippocastanum,PARC DES BUTTES CHAUMONT,PARIS 19E ARRDT,453.0,25.0,,,172281
